ID,y_true,catboost_pred,tempcnn_pred,WorldCover_Code,WorldCover_Class
ID_14WCNGIHOYTP,1,1,1,40,Cropland
ID_CU4UVAFIWB90,1,1,1,40,Cropland
ID_IDI3XZ7DNXUJ,1,1,1,40,Cropland
ID_HDJ154PTN4WK,1,0,1,10,Tree cover
ID_2EJ4VD5HV22D,0,0,0,20,Shrubland
ID_451B8S6TAH0D,0,0,0,30,Grassland
ID_T2U7QHZU192N,1,1,1,40,Cropland
ID_UFOMZYH7ILXR,1,1,1,40,Cropland
ID_POQN1QKYTQOG,0,0,0,40,Cropland
ID_JYGY5MDK8EG0,0,0,0,10,Tree cover
ID_ITXKKEUFF85L,0,0,0,20,Shrubland
ID_S2MASZLR8RS5,1,1,1,40,Cropland
ID_FS029OWRM6B0,1,1,1,40,Cropland
ID_ON1DPH4SL9FL,0,0,0,30,Grassland
ID_JEUVGTQS8J6U,1,1,1,40,Cropland
ID_32XPDMBKKJPM,0,0,0,30,Grassland
ID_1NHR4UWKB6TM,1,1,1,40,Cropland
ID_W1YK95LFF7LP,1,1,1,40,Cropland
ID_EHTAULQR4JR2,0,0,0,40,Cropland
ID_N10P79A0WR7U,1,1,1,40,Cropland
ID_S0RP6ANVY5AB,1,1,1,40,Cropland
ID_EGH9P0R5EWKR,0,0,0,20,Shrubland
ID_KSSDKA0UKVP1,0,0,0,40,Cropland
ID_NQ7VNQ3DGNJI,0,0,0,30,Grassland
ID_NL6IIXODK3JA,1,1,1,40,Cropland
ID_55M997RTD8GD,1,1,1,40,Cropland
ID_AX0WROGON0PP,1,1,1,40,Cropland
ID_SQC83HRXG6ID,0,0,0,10,Tree cover
ID_6Q6523CE0MD1,1,1,1,40,Cropland
ID_E3NOIAMZ0WGN,0,0,0,60,Bare/sparse vegetation
ID_5P8O5BKZKGMN,1,1,1,40,Cropland
ID_BPTB9F2DMAFP,1,1,1,40,Cropland
ID_VN1ODJXT7KOL,1,1,1,40,Cropland
ID_Z8F6JOOVRAGG,1,1,1,40,Cropland
ID_YCXG96HJT9JI,1,1,1,40,Cropland
ID_GZ7S8QWADIIN,1,1,1,40,Cropland
ID_LJHBB5HAV7EU,0,0,0,10,Tree cover
ID_V6QO3W80998J,1,1,1,40,Cropland
ID_I42JM7DIQEM8,0,0,0,10,Tree cover
ID_GFK9EGO571QV,0,0,0,10,Tree cover
ID_187O7YN1Z2TE,0,0,0,30,Grassland
ID_IAYXQCQ2KB80,0,0,0,40,Cropland
ID_EE7IU5WEI3J7,0,0,0,30,Grassland
ID_6ASTT5H331SJ,1,1,1,40,Cropland
ID_367HFP0MHPFC,1,1,1,40,Cropland
ID_ZC2QTWX8F9DN,0,0,0,30,Grassland
ID_PW9RZUON3QMR,1,1,1,40,Cropland
ID_FD2BHLXYXV7B,0,0,0,10,Tree cover
ID_Z7DS6QO0U74K,1,1,1,40,Cropland
ID_SJN7ZHER1Z55,0,0,0,30,Grassland
ID_UGMNU9BYO801,0,0,0,40,Cropland
ID_BJ6JYW1OBAPJ,1,1,1,40,Cropland
ID_0T8OMPKODB9H,0,0,0,20,Shrubland
ID_UJ3685FO4X0Y,1,1,1,40,Cropland
ID_10Y94GPBZWJ9,0,0,0,20,Shrubland
ID_TKUYZ8V3XRX3,1,1,1,40,Cropland
ID_N1L3Y5O00DLF,0,0,0,20,Shrubland
ID_XBP5W9J7LGWG,0,0,0,40,Cropland
ID_E91YPZK42000,1,1,1,40,Cropland
ID_EVY0KZO3CZD2,0,0,0,30,Grassland
ID_ZSYRO8A2NY2D,1,1,1,40,Cropland
ID_I9VQNW4SUICP,1,1,1,40,Cropland
ID_HFWL6V0RLP25,0,0,0,30,Grassland
ID_X4D28KS5VXAW,0,0,0,50,Built-up
ID_ZKWWIP2PWZ1A,0,0,0,50,Built-up
ID_0Q2WWBTSCT1T,1,1,1,40,Cropland
ID_Z9YYGOK4C8D9,0,0,0,30,Grassland
ID_OLLDNEN1QYMT,0,0,0,10,Tree cover
ID_PYMC7QBQRRB5,1,1,1,40,Cropland
ID_1RC42BQA1UZZ,1,1,1,40,Cropland
ID_WUO4SBCH45PF,0,0,0,40,Cropland
ID_33QVTEATX2KX,0,0,0,30,Grassland
ID_TNW3DWNQJ6LV,0,0,0,40,Cropland
ID_C0DRIUP5D7GA,1,1,1,40,Cropland
ID_ZFTDRFDLGRMB,1,1,1,40,Cropland
ID_XBH47HJ6QJ1U,0,0,0,10,Tree cover
ID_O8DXE2EAZ5V5,0,0,0,10,Tree cover
ID_E9NTWRKGNRAB,1,1,1,40,Cropland
ID_JHV3BSA5H6HB,0,0,0,40,Cropland
ID_KPUICPZKKGJK,1,1,1,40,Cropland
ID_QMIRV8JNM93E,0,0,0,10,Tree cover
ID_KTVCC8AZDEZT,0,0,0,40,Cropland
ID_3F5KCDX184WG,0,0,0,30,Grassland
ID_N1ACXK7Q0P4R,1,1,1,40,Cropland
ID_KAXNFT1AKV69,1,1,1,40,Cropland
ID_RW515MIYCKJY,0,0,0,20,Shrubland
ID_K3FLBP2WWMTK,0,0,0,10,Tree cover
ID_54CQM16GAPJQ,0,0,0,10,Tree cover
ID_NEI0DFRBQBGQ,1,1,1,40,Cropland
ID_806T2BSMXUJR,1,1,1,40,Cropland
ID_G50H3OUTPMYY,1,0,1,40,Cropland
ID_K18T9D1I37FB,1,1,1,40,Cropland
ID_FBYHT1KTXMXE,0,0,0,10,Tree cover
ID_MA09UFGC12TJ,0,0,0,10,Tree cover
ID_663AEP6JQPOO,0,0,0,10,Tree cover
ID_2GCIZ478WKZS,1,1,1,40,Cropland
ID_8KUOYJHZ9T9K,0,0,0,30,Grassland
ID_BK5DF390S83H,1,1,1,40,Cropland
ID_TREH3T5GWKA5,1,1,0,40,Cropland
ID_1PTZLB6PZ9OL,1,1,1,40,Cropland
ID_M06ZJE672OCD,0,0,0,30,Grassland
ID_VHSUZF49ND72,0,1,1,40,Cropland
ID_S4DA49CTJFZT,1,1,1,40,Cropland
ID_0JB1ZS2QPE8C,0,0,0,10,Tree cover
ID_CTMXZ4XC9W2Y,1,1,1,40,Cropland
ID_06SS9UPGRDWP,1,1,1,40,Cropland
ID_3B6ZHPALU7J3,0,0,0,10,Tree cover
ID_31NV8VSTTEQD,0,0,0,10,Tree cover
ID_UOM8POIYWIC2,0,0,0,60,Bare/sparse vegetation
ID_0HGY7T0AVTPU,1,1,1,40,Cropland
ID_T2NH6L94WPQ8,0,0,0,10,Tree cover
ID_268NHUSFH9T2,1,1,1,40,Cropland
ID_1O1XSEPKO51T,0,0,0,30,Grassland
ID_HESAQXBNNCRF,0,0,0,30,Grassland
ID_OLWU34LBJFSL,0,0,0,60,Bare/sparse vegetation
ID_UX1CFB8KC3F3,0,0,0,20,Shrubland
ID_3XJR2XL8SX67,0,0,0,20,Shrubland
ID_HRH78HAAY3EG,1,1,1,40,Cropland
ID_I0C9O4MU6F34,1,1,1,40,Cropland
ID_Z3FCZ62J0R3Y,1,1,1,40,Cropland
ID_M57NSA5AD8TS,1,1,1,40,Cropland
ID_ZB2VV7MT5VK2,0,0,0,10,Tree cover
ID_JCCLTILZ912W,1,1,1,40,Cropland
ID_WSW7NT507DF0,1,1,1,40,Cropland
ID_UAVX5HO3GWUW,0,0,0,10,Tree cover
ID_FJGV30QFLCI4,1,1,1,40,Cropland
ID_ZL6PGZ98L7VN,0,0,0,30,Grassland
ID_B3II55MQIMH9,1,1,1,40,Cropland
ID_SL34J3XPA7C0,1,1,1,40,Cropland
ID_V031QMCLM34O,0,0,0,20,Shrubland
ID_JYQ4E0MNE15M,0,1,0,40,Cropland
ID_TGMIMA4WUKD7,1,1,1,40,Cropland
ID_YHL8Y6KZNJPU,1,1,1,40,Cropland
ID_4CHWS6CPOULQ,1,1,1,40,Cropland
ID_7JNVGY64TDR9,1,1,1,40,Cropland
ID_ULSAXD7E15DB,1,1,1,40,Cropland
ID_473DCBYKM88R,0,0,0,30,Grassland
ID_RYLVVDF829CG,0,0,0,40,Cropland
ID_RC0TG92R0F9I,0,0,0,40,Cropland
ID_DFV7Q0G60V1G,0,1,1,40,Cropland
ID_PUZ5E75XAC1D,0,0,0,30,Grassland
ID_J2ATZIG1J6ED,1,1,1,40,Cropland
ID_G26E37EX2V2X,1,1,1,40,Cropland
ID_FYSDI1MBZS55,1,1,1,40,Cropland
ID_GHDHN26DRK61,0,0,0,10,Tree cover
ID_CEGS77J2PBAA,1,1,1,40,Cropland
ID_XBHK4BKEQ2DR,0,0,0,30,Grassland
ID_ADMRB8VEARER,0,0,1,40,Cropland
ID_270V79G6341C,0,0,0,30,Grassland
ID_YGUK37JV5YJU,1,1,1,40,Cropland
ID_SLAHOVG5WGD6,1,1,1,40,Cropland
ID_3GY91L0AM008,1,1,1,40,Cropland
ID_VSRQ27XBM8YY,1,1,1,40,Cropland
ID_84P9ZCUAF9PJ,0,0,0,30,Grassland
ID_N4P6QHM91LEY,1,1,1,40,Cropland
ID_6N9GL3DPBXUA,1,1,1,10,Tree cover
ID_177TRY8NO7MF,0,0,0,30,Grassland
ID_9YYVVHK6F1D3,1,1,1,40,Cropland
ID_048WTPX84MXY,0,0,0,30,Grassland
ID_XC5VVR4Q9UR4,1,1,1,40,Cropland
ID_YERWC9STKDIN,0,0,0,60,Bare/sparse vegetation
ID_T0PH1YZP77JD,1,1,1,40,Cropland
ID_9SCVNP1OYF5M,0,0,0,30,Grassland
ID_MKBK6D8UOYWR,0,0,0,10,Tree cover
ID_T6ZHPZ293PI3,0,0,0,40,Cropland
ID_6LYQ4OF6LWA3,0,0,0,40,Cropland
ID_FZZG8GGN7RZ2,0,0,0,10,Tree cover
ID_L8OGG18TPVIK,0,0,0,30,Grassland
ID_W9GP101QIZ0V,0,0,0,40,Cropland
ID_1YWN24Y0B76K,0,0,0,40,Cropland
ID_SU0ZG2JNNQT2,1,1,1,40,Cropland
ID_5PK1X3ZDD0O9,0,1,1,40,Cropland
ID_XZPNNBR5TETL,0,0,1,40,Cropland
ID_HIUQ1HGQM5UX,1,1,1,40,Cropland
ID_KRG2D7SUI1ID,1,1,1,40,Cropland
ID_I5DDWMQCKHEX,1,1,1,40,Cropland
ID_FUXTFI5NT6Z8,0,0,0,50,Built-up
ID_ZTF9FTCP79V1,1,1,1,40,Cropland
ID_OGUXCS40PDMA,0,0,0,20,Shrubland
ID_L0GX6GJ95FD4,0,0,0,10,Tree cover
ID_AO01PXG9C53B,0,0,0,60,Bare/sparse vegetation
ID_0SRTY4XSQF62,0,0,0,40,Cropland
ID_WNQ3CAHGAYW0,0,0,0,30,Grassland
ID_22W7XNM0NIKM,1,1,1,40,Cropland
ID_U9EQESBUWXCR,1,1,1,40,Cropland
ID_BXQSEEHWVKJV,0,0,0,10,Tree cover
ID_MMNM2DEYBL5L,1,1,1,40,Cropland
ID_1M8HXI180TIU,1,1,1,40,Cropland
ID_4HKLYVRPQPDU,1,1,1,40,Cropland
ID_KDN1WCJPMQQ1,0,0,0,10,Tree cover
ID_OSOT0HQUF6MR,1,1,1,40,Cropland
ID_PC16D76DTE1Z,0,0,0,30,Grassland
ID_X5CBJ1SC2X9E,1,1,1,40,Cropland
ID_CLR323EI6L8E,0,0,0,40,Cropland
ID_K3N3FK4XV84K,0,0,0,20,Shrubland
ID_Y0PX6B0KWBSI,1,1,0,40,Cropland
ID_I1HGVH4WDCP1,0,0,0,10,Tree cover
ID_64KCJ9JCESFW,0,0,0,10,Tree cover
ID_6YNWDN5Q7TR8,1,1,1,40,Cropland
ID_L88N1PAAYDK1,1,1,1,40,Cropland
ID_SVK5JQYRPON8,1,1,1,40,Cropland
ID_77CDHCOO87JZ,1,1,1,40,Cropland
ID_J1ZZX5U4F33M,1,1,1,40,Cropland
ID_RWU8A4J2CPL9,0,0,0,10,Tree cover
ID_5UD3413A6BNR,0,0,0,50,Built-up
ID_4YSRLJGXF7OS,0,0,0,10,Tree cover
ID_2BHJZ3S852TD,0,0,0,40,Cropland
ID_GEK632QO8WPJ,0,0,0,30,Grassland
ID_AIVEGCQ9DQ6M,1,1,1,40,Cropland
ID_YLA4E42QQAS4,0,0,0,10,Tree cover
ID_LNMEZICE4GHO,0,1,1,40,Cropland
ID_RQZTP01KBIN3,0,0,0,30,Grassland
ID_UL2B8M7ZG77K,0,0,0,20,Shrubland
ID_85OMU3YKU2QI,1,1,1,40,Cropland
ID_1KZ0ID3LCI5K,0,0,0,20,Shrubland
ID_T1NITJOOQV6M,0,0,0,10,Tree cover
ID_5D574S6NRGKP,0,0,0,20,Shrubland
ID_E5ERUM4U4QXY,0,0,0,10,Tree cover
ID_P9JDPDJ4NC8N,1,1,1,40,Cropland
ID_PWBBMFTC2SBA,0,1,1,40,Cropland
ID_VYG2TL4QQ5QV,1,1,1,40,Cropland
ID_6S3APSAQF20J,1,1,1,40,Cropland
ID_0O1ZKHPBTGQN,1,1,1,40,Cropland
ID_J44VRN2L4W9E,0,0,0,30,Grassland
ID_0MK2DYANZ549,0,0,0,20,Shrubland
ID_SWXGTS2JVJBS,0,0,0,50,Built-up
ID_V767P2KQNTL8,0,0,0,20,Shrubland
ID_QE5P8RK12XHG,0,0,0,30,Grassland
ID_XCL5YXG7FHO3,0,0,0,30,Grassland
ID_M2FVZX9H9928,0,0,0,10,Tree cover
ID_GVWFG5LH8GUP,1,1,1,40,Cropland
ID_PR63GUS3Q5WY,1,1,1,40,Cropland
ID_SEE1CW3C2T9S,1,1,1,40,Cropland
ID_I6PV0XMYMQS0,0,0,0,20,Shrubland
ID_KLP961S3TF13,0,0,0,30,Grassland
ID_LWAYERPV06PF,0,0,0,40,Cropland
ID_2Y261FKC2B3O,0,0,0,10,Tree cover
ID_32WNHPROFIAV,0,0,0,40,Cropland
ID_9ONJI2OQV611,1,1,1,40,Cropland
ID_Q90N4XUU4908,0,0,0,40,Cropland
ID_3RSJJV8APX5V,1,1,1,40,Cropland
ID_TWH3W57KEARF,0,0,0,30,Grassland
ID_OAW83RF9SLS7,0,0,0,60,Bare/sparse vegetation
ID_E46HVPHBL9U6,1,1,1,40,Cropland
ID_4H58BOAXOT71,0,0,0,50,Built-up
ID_DIHEPVL4V1JH,1,1,1,40,Cropland
ID_FPZ0H37GDCOI,1,1,1,40,Cropland
ID_4NAD8W11PYNS,0,0,0,10,Tree cover
ID_50JWFY1PJY2D,1,1,1,40,Cropland
ID_T9HX9L27OGTC,1,1,1,40,Cropland
ID_5IA065WKXZEN,0,0,0,30,Grassland
ID_A1PVIZL1H9ZG,1,1,1,40,Cropland
ID_B04CHEKD8V73,1,1,1,40,Cropland
ID_XLZTXZNGWBAD,1,1,1,40,Cropland
ID_5A2NA2MD364B,1,1,1,40,Cropland
ID_CLU0DQZI2YXO,1,1,1,40,Cropland
ID_OWKXB5BWJUQQ,1,1,1,40,Cropland
ID_R4DYJ79ZNTZ2,1,1,1,40,Cropland
ID_PZ5XVR0HM5G3,0,0,0,40,Cropland
ID_11CRGUL6A1ZX,1,1,1,40,Cropland
ID_0ZTKCLBCAGV2,0,0,0,20,Shrubland
ID_4W4K2SQUJC9N,1,1,1,40,Cropland
ID_HLRYP8QUW7NB,1,1,1,40,Cropland
ID_BD2334OLHS97,1,1,1,40,Cropland
ID_JJ7C6GTPXD3S,1,1,1,10,Tree cover
ID_5TLS241HMJZ0,1,1,1,40,Cropland
ID_HTOYBFYHRLFQ,1,1,1,40,Cropland
ID_KCK9QBYAK0Y2,1,1,1,40,Cropland
ID_ITGF9LFS2020,0,0,0,10,Tree cover
ID_RWDNMXA19KUS,1,1,1,40,Cropland
ID_FURGK4AJ96OK,1,1,1,40,Cropland
ID_0NNHG3MCA9IY,1,1,1,40,Cropland
ID_GVO6MJEI68ZU,0,0,0,20,Shrubland
ID_0XFW2K5YRDNZ,1,1,1,40,Cropland
ID_KY8XO7N2P6VD,1,1,1,40,Cropland
ID_LGYY4UDR860U,0,0,0,40,Cropland
ID_5BMA9W7D2IL0,1,1,1,40,Cropland
ID_CP1KM9ZLSTTJ,0,0,0,10,Tree cover
ID_FCSVP83LEJJR,1,1,1,40,Cropland
ID_O2AW9ZJFLGEG,0,0,0,30,Grassland
ID_WDY6ZITJSVKZ,0,0,0,10,Tree cover
ID_CPIKWUKWRA7S,0,0,0,10,Tree cover
ID_YK2KWAW41YNL,0,0,0,10,Tree cover
ID_GRW2Y6U9U2FZ,1,1,1,40,Cropland
ID_DG7WHLJZ703B,0,0,0,30,Grassland
ID_IEJC9L2RTOMB,1,0,1,40,Cropland
ID_PFUEAL1TP1KC,1,1,1,40,Cropland
ID_F2UF7Y1ZG9AI,0,0,0,20,Shrubland
ID_DJBGTT56FHQO,1,1,1,40,Cropland
ID_61NBEWM81WKS,0,0,0,20,Shrubland
ID_J8E18K16JZKX,1,1,1,40,Cropland
ID_CMDWQMRHYCMG,1,1,1,40,Cropland
ID_LDA24UIZGIR5,1,1,1,40,Cropland
ID_HFPTTZTE3OGP,1,1,1,40,Cropland
ID_19201E7804JV,0,0,0,30,Grassland
ID_TV2NU4GJFFFM,0,0,0,10,Tree cover
ID_H0U4MQ7F0ASS,1,1,1,40,Cropland
ID_WP7HFRPCG8CT,0,0,0,40,Cropland
ID_V6JR64WRUN2Q,0,0,0,10,Tree cover
ID_3B9RTQ7GH8P4,1,1,1,40,Cropland
ID_QFLPDPI5X3MY,0,0,0,10,Tree cover
ID_AGUIC91U9950,0,0,0,40,Cropland
ID_07YIV2MFLU0W,1,1,1,10,Tree cover
ID_AN8HP0AR4IVZ,1,1,1,40,Cropland
ID_DYGOKIB7361F,0,1,1,40,Cropland
ID_V9QGJNU40IT6,1,1,1,40,Cropland
ID_LH4M704H2JP5,1,1,1,40,Cropland
ID_1XJO8AD6OGJH,1,1,1,40,Cropland
ID_B48YRHLK3PN2,0,0,0,30,Grassland
ID_B0CJXMO11UO3,1,0,0,40,Cropland
ID_IWL1OXLW168R,0,0,0,20,Shrubland
ID_WZD5XQYGSQTV,0,0,0,30,Grassland
ID_90JBS9VNZ6FK,1,1,1,40,Cropland
ID_Y6GBBIBIR5OP,1,1,1,40,Cropland
ID_FZXXLYIN599X,1,1,1,40,Cropland
ID_6J391SE9DZ74,0,0,0,10,Tree cover
ID_6CZNDR7QYAI4,0,0,0,40,Cropland
ID_THVZCKU0B418,1,1,1,40,Cropland
ID_KJQXEA9OGQLV,0,0,0,10,Tree cover
ID_0EHLZYYMQ7GC,0,0,0,40,Cropland
ID_G9ORWORSOUEI,0,0,0,40,Cropland
ID_AE4XWI35A5T9,0,0,0,30,Grassland
ID_JYGPGZVJGMKN,1,1,1,40,Cropland
ID_PQBF4FUJTYNR,0,0,0,50,Built-up
ID_03QDWT3O0285,1,1,1,40,Cropland
ID_4YQIA4XJQ362,0,0,0,20,Shrubland
ID_1EZY3J1J6K7Z,0,0,0,30,Grassland
ID_APT7TF7CAXKI,0,0,0,30,Grassland
ID_04BNRE0CH6LX,0,0,0,40,Cropland
ID_HB7OVXJ1M3BZ,1,1,1,40,Cropland
ID_J2VN582T4CLU,0,0,0,40,Cropland
ID_EN8R747VRVP1,1,1,1,40,Cropland
ID_4RZOMICAWNNW,1,1,1,40,Cropland
ID_JAM2E9F01SAE,0,0,0,30,Grassland
ID_7E58KLULLUZW,1,1,1,40,Cropland
ID_MLMOQZTFS9P7,1,1,1,40,Cropland
ID_HP7UWRHCSY8X,1,1,1,40,Cropland
ID_361AEA5ECXQO,1,1,1,40,Cropland
ID_OEVLIJLMMB23,0,0,0,50,Built-up
ID_OQ0YD2HV19IY,1,1,1,40,Cropland
ID_ZMVF7NPG6MA3,0,0,0,30,Grassland
ID_81UL24DOLETJ,0,0,0,10,Tree cover
ID_QCW9D4T11EOC,1,1,1,40,Cropland
ID_PQ2UVUZV7Q0Y,1,1,1,40,Cropland
ID_XEPV0PN4MQKN,0,0,0,20,Shrubland
ID_FTMFIO1YN55F,1,1,1,40,Cropland
ID_9K2MU2CHTBAM,0,0,0,30,Grassland
ID_520WM94N0L39,1,1,1,40,Cropland
ID_EFM1FSWMJ0TZ,1,1,1,40,Cropland
ID_T8KM1LFSOXET,0,0,0,20,Shrubland
ID_BJAS4W4PP9RG,1,1,1,40,Cropland
ID_YB27K1SI971N,1,1,1,40,Cropland
ID_F08NV2UJI60Y,1,1,1,40,Cropland
ID_CVFAGDQ6QADT,1,1,1,10,Tree cover
ID_CC4LLUDYY73W,1,1,1,40,Cropland
ID_RAH0B3IRH8ME,0,0,0,60,Bare/sparse vegetation
ID_ELTKZJI4CB1F,1,1,1,40,Cropland
ID_DFKG846309SD,1,0,0,40,Cropland
ID_22XFYD2J8HB6,1,1,1,40,Cropland
ID_SWSPFMVKDQTW,1,1,1,40,Cropland
ID_MWVQKGQYAIWD,1,1,1,40,Cropland
ID_A038RTDCWHJ9,1,1,1,40,Cropland
ID_0H8FVSM8JFIF,0,0,0,60,Bare/sparse vegetation
ID_HE70XXJDBQTS,0,0,0,30,Grassland
ID_VR41NFAN6HUW,1,1,1,10,Tree cover
ID_KD3I1OQNN5JR,1,1,1,40,Cropland
ID_HNRS9GDMI4DT,1,1,1,40,Cropland
ID_QTZCTK5WSFQF,1,1,1,40,Cropland
ID_6PVJK3GKY02X,0,0,0,10,Tree cover
ID_50415U9PFKAI,1,1,1,40,Cropland
ID_5ELQREHCTOKI,0,0,0,40,Cropland
ID_CCRGJUXW0YQB,0,0,0,30,Grassland
ID_DMJA9GZDLRYX,0,0,0,40,Cropland
ID_YXYEELRZSYD5,0,0,0,10,Tree cover
ID_PL2T9713QKV5,1,1,1,40,Cropland
ID_PXI8U9YB44EQ,0,0,0,40,Cropland
ID_EDI5IVIJY4QS,0,0,0,30,Grassland
ID_IXE826ZQ4K6J,1,1,1,40,Cropland
ID_07TE59NRCTBV,0,0,1,40,Cropland
ID_WXV2996SCM9W,1,1,1,40,Cropland
ID_0TRB94FAP2E6,1,1,1,40,Cropland
ID_PK08Y9L3MOW7,1,1,1,10,Tree cover
ID_W7EO2GVZ0RT1,0,0,0,40,Cropland
ID_I8MF67F9ZYG7,1,1,1,40,Cropland
ID_P9NR12ZZASCH,1,1,1,40,Cropland
ID_JZVBSEXW5FDE,1,1,1,40,Cropland
ID_AX97SAG2F6XL,0,0,0,30,Grassland
ID_JWN61IK2FGGN,0,0,0,30,Grassland
ID_5BB4POAVJMVV,1,1,1,40,Cropland
ID_3VEVWPBKETKW,1,1,1,40,Cropland
ID_3SLENE6TW4FJ,1,1,1,40,Cropland
ID_OLRSLDAW2TZM,0,0,0,40,Cropland
ID_4LAOA77RLWOV,0,0,0,10,Tree cover
ID_KE9DNIXTT08S,1,1,1,40,Cropland
ID_OCV25TDPFPMR,0,0,0,40,Cropland
ID_NCEIZBTWQCSW,0,0,0,30,Grassland
ID_TYQ1RBWLIYXU,0,1,1,40,Cropland
ID_Z3R5DKYS8NM7,1,1,1,40,Cropland
ID_Y5AQZUQG6544,0,0,0,10,Tree cover
ID_YUUM4K2V0XMB,1,1,1,40,Cropland
ID_CUMFBW424MTO,0,0,0,10,Tree cover
ID_TL37D7NK713F,0,1,1,10,Tree cover
ID_K679YMRG0NEG,1,1,1,40,Cropland
ID_EXSLNGNWV2KP,0,0,0,50,Built-up
ID_FGA5ER04A347,0,0,0,60,Bare/sparse vegetation
ID_MSAFKA3Y9N54,0,0,0,30,Grassland
ID_38XVWH10RVS8,0,0,0,40,Cropland
ID_XTTKWT4TT1MM,1,1,1,40,Cropland
ID_1MX7EP89RDEM,1,1,1,40,Cropland
ID_7QUXKLVZHX3J,1,1,1,40,Cropland
ID_2G9AXQ4KEX4F,0,0,0,30,Grassland
ID_WGYUXOJ5M8NA,0,0,0,40,Cropland
ID_P44IENYPZIU2,0,0,0,50,Built-up
ID_OYX6JXASGD4X,1,1,1,40,Cropland
ID_GR53GGR5ACIG,0,0,0,10,Tree cover
ID_Z0YWTXMXK6DS,0,0,0,40,Cropland
ID_M3W9HCDUGV04,0,0,0,30,Grassland
ID_GSM0MUMBVXEC,1,1,1,40,Cropland
ID_KB9LJPNZE7PM,0,0,0,10,Tree cover
ID_JBBJCIFZD8XR,0,0,0,20,Shrubland
ID_1TTDFNSEOE10,0,0,0,40,Cropland
ID_HGUM2HZNGKNR,1,1,1,40,Cropland
ID_KQW4OQREL5MB,1,1,1,40,Cropland
ID_9ETDUXOKCI58,1,1,1,40,Cropland
ID_6QRLTRGVEUQX,0,0,0,50,Built-up
ID_Q2HH42H3U6N7,0,0,0,40,Cropland
ID_W6S4KLKCU0TA,0,0,0,40,Cropland
ID_K18M1IG525AC,0,0,0,10,Tree cover
ID_FMZFUNQQ17E0,0,0,0,10,Tree cover
ID_9NBQ5BX9FLUX,1,1,1,40,Cropland
ID_UW0OKH3LYHP9,0,0,0,20,Shrubland
ID_NSWIIHXXCUPA,1,1,1,40,Cropland
ID_M3OODBIO8NM9,1,0,0,40,Cropland
ID_HB1MVPZQDWOK,0,0,0,50,Built-up
ID_OECBKVWB6DBY,0,0,0,30,Grassland
ID_5OCKUZG9JJ7A,1,1,1,40,Cropland
ID_0IQVWOWU2T2M,0,0,0,30,Grassland
ID_50ASZZLX75Q8,1,1,1,40,Cropland
ID_T81YJWHHERE7,0,0,0,20,Shrubland
ID_NL45FU2O5IGC,1,1,1,40,Cropland
ID_BFHXFFW2KNCX,1,1,1,40,Cropland
ID_362P1BC60KRV,0,0,0,10,Tree cover
ID_VNZIZXE9P3WL,1,1,1,40,Cropland
ID_4CGTRRHGF8UO,1,1,1,40,Cropland
ID_VPUH0OFSQBRY,1,1,1,40,Cropland
ID_R6BEGSQKNSDE,1,1,0,40,Cropland
ID_CJCDQIRDJ6VR,0,0,0,60,Bare/sparse vegetation
ID_XIKCCVT84CTT,0,0,0,30,Grassland
ID_XCX7XVNESQS0,0,0,0,30,Grassland
ID_AQ7FQ5ZSGF4V,0,0,0,40,Cropland
